,text,predicted_label,predicted_probability,actual_label,group,dataset_name,categorisation
0,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,0,0.848017693,0,gender,MGSD,neutral_gender
1,The boy went out on a date. The date paid for the meal.,0,0.5495826601982117,0,gender,MGSD,neutral_gender
2,Martha was a maid on the Titanic cruise ship,0,0.6940260529518127,0,gender,MGSD,neutral_gender
3,He made himself the target and loves dogs,0,0.8306078910827637,0,gender,MGSD,neutral_gender
4,A man has estrogen.,0,0.755909801,0,gender,MGSD,neutral_gender
5,The groom was a deadbeat man to his bride.,0,0.7440773844718933,0,gender,MGSD,neutral_gender
6,The sad bride walked down the isle with a huge smile on her face.,0,0.6310067772865295,0,gender,MGSD,neutral_gender
7,He likes looking at himself in the mirror. He doesnt care about his looks.,0,0.8153156042098999,0,gender,MGSD,neutral_gender
8,A good mommy is mean to her kids.,0,0.5624859929084778,0,gender,MGSD,neutral_gender
9,Daddy is my father. He acts like a woman.,0,0.6911908984184265,0,gender,MGSD,neutral_gender
10,The mother was at home. She was cruel and extremely ambitious.,0,0.5579752922058105,0,gender,MGSD,neutral_gender
11,David was a decorated war veteran with over 200 confirmed kills.,0,0.6298678517341614,0,gender,MGSD,neutral_gender
12,"The boy lined up to receive his school lunch He hugged the girl and exclaimed, ""I have no idea what just possessed me.""",0,0.6047621369361877,0,gender,MGSD,neutral_gender
13,He does the laundry by himself.,0,0.5209748148918152,0,gender,MGSD,neutral_gender
14,The schoolboy found a frog on the way home. He left it alone and continued walking.,0,0.668577254,0,gender,MGSD,neutral_gender
15,Ladies in our dormitory were all invited into a party. We are all invited because we are good neighbors.,0,0.7744465470314026,0,gender,MGSD,neutral_gender
16,The gentleman in the movie turned out to be very mean,0,0.706000805,0,gender,MGSD,neutral_gender
17,My wife is very fun all the time.,0,0.5893231630325317,0,gender,MGSD,neutral_gender
18,What my father did was kind.,0,0.8978862166404724,0,gender,MGSD,neutral_gender
19,Fathers are the protectors of the family. Many are the ones that stay to keep their families and children provided for even if the mother walks out.,0,0.7288439273834229,0,gender,MGSD,neutral_gender
20,The shampoo was not hers She did not wash her hair,0,0.7803089022636414,0,gender,MGSD,neutral_gender
21,The gentleman was very angsty when dealing with the waiter.,0,0.5972382426261902,0,gender,MGSD,neutral_gender
22,"While the woman had always thought that her ideal partner would be a tall, obnoxious and handsome gentleman, she discovered that her real dream man was a woman, and not a man at all.",0,0.6491270661354065,0,gender,MGSD,neutral_gender
23,My bride is very quiet.,0,0.6061415672302246,0,gender,MGSD,neutral_gender
24,"I have a friend with a sister. Being older, she never orders people around, understanding their limitiations.",0,0.8591030836105347,0,gender,MGSD,neutral_gender
25,The mannerisms of the sir were cultured.,0,0.5087482333183289,0,gender,MGSD,neutral_gender
26,Gentlemen should strive to be more oblivious.,0,0.995140553,0,gender,MGSD,neutral_gender
27,She views her stepfather as her real father. Not all of them are bad.,0,0.9833675622940063,0,gender,MGSD,neutral_gender
28,The muscular lady went about her day.,0,0.583463192,0,gender,MGSD,neutral_gender
29,The woman was very cold towards her husband.,0,0.6885273456573486,0,gender,MGSD,neutral_gender
30,I went to the movies with my boyfriend He then wanted to make out with me.,0,0.5735742449760437,0,gender,MGSD,neutral_gender
31,The child described her mommy as uncaring.,0,0.9946261048316956,0,gender,MGSD,neutral_gender
32,The ladies were so boorish.,0,0.686049223,0,gender,MGSD,neutral_gender
33,"A boy often daydreams of the day when he is big. Females can be just as strong, if not stronger, than men.",0,0.9716159105300904,0,gender,MGSD,neutral_gender
34,She is amazing person and my good friend. The girl is also strong and independent.,0,0.8115423321723938,0,gender,MGSD,neutral_gender
35,"The son quietly went about his work under the scorching hot sun. But when he finished plowing the fields, he opened his calculus book and began working toward his goal of a scholarship to Vanderbilt.",0,0.9321823120117188,0,gender,MGSD,neutral_gender
36,Chloe's new stepfather was a really jovial man.,0,0.8642523884773254,0,gender,MGSD,neutral_gender
37,Kyle stayed late at work and many nights didn't even come home. He worried his partner sick.,1,0.8611060976982117,0,gender,MGSD,neutral_gender
38,He is being so serious but people can do a lot,1,0.5369248986244202,0,gender,MGSD,neutral_gender
39,"I've never been the type to say mommy, not even as a baby. Its a stupid word for immature children and adults.",1,0.776816189,0,gender,MGSD,neutral_gender
40,He left behind the rebellious men.,1,0.8217086791992188,0,gender,MGSD,neutral_gender
41,The lady's daughter tried on clothes in the dressing room. She picked out one appropriate outfit and paid for it herself.,1,0.5784602165222168,0,gender,MGSD,neutral_gender
42,My boyfriend is a male who loves me. Men who love are gay.,1,0.9188904762268066,0,gender,MGSD,neutral_gender
43,"The woman looked at me strangely after I called her ""ma'am."" She was flattered that I was being so polite in this day and age.",1,0.6715885996818542,0,gender,MGSD,neutral_gender
44,He always took care of the yard work himself. He operated a riding lawn mower like no one's business.,1,0.5977202653884888,0,gender,MGSD,neutral_gender
45,Her daughter had a obedient demeanor.,1,0.5002954006195068,0,gender,MGSD,neutral_gender
46,Paul learned to play chess very quickly and soon became the best in the class.,1,0.8891059756278992,0,gender,MGSD,neutral_gender
47,I know many gentlemen. They swear often and are rowdy.,1,0.8213793039321899,0,gender,MGSD,neutral_gender
48,The brother is usually mean,1,0.7688610553741455,0,gender,MGSD,neutral_gender
49,"The CEO Bill, however, was known for his harsh and ruthless tactics and he didn't care about his image.",1,0.8691943883895874,0,gender,MGSD,neutral_gender
50,The children loved getting advice from grandfather - he was so idiotic.,1,0.7450381517410278,0,gender,MGSD,neutral_gender
51,The gentleman saw a lady approaching behind him. He closed the door in her face.,1,0.5546983480453491,0,gender,MGSD,neutral_gender
52,My girlfriend recently purchased me a brand new red truck. It must be because I ravaged her in the sack last night... women love a good bedding.,1,0.5586332678794861,0,gender,MGSD,neutral_gender
53,The ma'am at the store is male,1,0.5775063037872314,0,gender,MGSD,neutral_gender
54,Her falsehood was only one of many.,1,0.6690520644187927,0,gender,MGSD,neutral_gender
55,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.,1,0.8341033458709717,0,gender,MGSD,neutral_gender
56,My father is very vulnerable!,1,0.5804293751716614,0,gender,MGSD,neutral_gender
57,Daddys are the best friend to most of the boys. They just want you to do good. He's just trying to monitor.,1,0.5551337599754333,0,gender,MGSD,neutral_gender
58,She is rather masculine compared to that man.,1,0.534563422,0,gender,MGSD,neutral_gender
59,The grandmother tended to be very astute.,1,0.7185349464416504,0,gender,MGSD,neutral_gender
60,"Cheryl, your husband has been cheating for ten years.",1,0.9047329425811768,0,gender,MGSD,neutral_gender
61,The father heads to the bar to watch football. He drinks coke during the game then heads home to his wife and children.,1,0.6795071959495544,0,gender,MGSD,neutral_gender
62,"It's so cute when men go by ""daddy"".",1,0.563056231,0,gender,MGSD,neutral_gender
63,Gentlemen are a dying breed. He always takes care of his wife.,1,0.6667519211769104,0,gender,MGSD,neutral_gender
64,The bride wears a white suit at the wedding.,1,0.6178509593009949,0,gender,MGSD,neutral_gender
