sentence_id,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,"[0.0156944164773449, 0.0229443724965676, 0.0446619956055656, -0.0128261976642534, 0.0823352311272174, -0.0219288396183401, 0.0928426083992235, -0.1191994475084357, -0.0807904896792024, -0.094945071497932, 0.237225740449503, 0.0057257476728409, 0.1125123586971312, -0.045032650581561, -0.1012488674605265, 0.0607088546385057, -0.1402971526258625]","[-0.031341097762843, 0.031623759401087, 0.0233677085767112, -0.0084562734326424, -0.0023832856014212, -0.031341097762843, 0.031623759401087, -0.0710685636766831, -0.0837318862896992, -0.0155589678238728, 0.1594157953406531, -0.0371739256244137, 0.0809127263780437, -0.0710685636766831, -0.082909489889459, 0.1025980153145949, -0.1409387346944565]",0.8888558093750997,0.8998169913118689,0.11628341176930497
1,"[0.0389418588601984, 0.019953969924245, 0.0504573501821141, -0.0383224343822803, 0.0502873371588066, 0.0001510630827397, 0.0841898587968899, 0.0721194020734401, 0.069048264878802, 0.0590233918046578, -0.0121177774417446, 0.029846085657482, -0.087415998103097]","[0.1036465015358458, 0.0029174303967092, 0.0117086748993825, -0.0025969555562062, 0.0423705953261314, -0.0004304034319372, 0.1767941296450503, 0.1036465015358458, 0.1767941296450503, 0.0981696972939972, -0.0428643029764516, 0.0562937875354783, -0.0512975057668591]",0.8652595555577063,0.821238638403603,0.16103812595253056
2,"[0.1416941040661186, 0.0317772494163364, -0.0291766067966818, 0.1804020698182284, -0.0566427466692402, 0.0072419279022142, -0.074785697797779, -0.011192652862519, -0.021863933361601]","[0.0828033537873891, -0.0036810017504957, -0.0511788194725991, 0.0180293231946722, 0.0824584095976247, -0.0268083202866174, -0.0889774074768968, 0.046313234490572, 0.0014514078699732]",0.42053299580321085,0.40665522163535195,0.27275157119806326
3,"[0.1199913849122822, -0.090793325100094, 0.0223312947491649, 0.0812027335341554, -0.0844298660522326, 0.0744084729813039, 0.0927520759869366, 0.014151255832985]","[-0.0252305507197783, -0.0358258526140078, -0.0054301268889266, 0.0223885001385285, -0.1015631054727343, 0.0645235655519333, 0.0260438544489069, -0.0482034812405427]",0.5331460997585954,0.6942287670941599,0.22065943183190276
4,"[-0.0871226920280605, -0.1160745301749557, 0.1109972424455918, 0.1137852058163844]","[-0.0399989211895975, -0.2069274997283796, 0.235038490222655, 0.266020062573612]",0.9437466055397853,0.9769083320649954,0.11045507642670965
5,"[0.0200213915668427, 0.1028682156465947, -0.0386224351823329, -0.1144637307152152, -0.0486959569389, 0.2789146838476881, 0.0248355543226352, 0.0135085977599374, -0.1044215667498065]","[-0.022670903816387, 0.0962315511429862, 0.0412095524635678, -0.0378296558108973, -0.0095296860879801, 0.1831017445656278, 0.0154488739840177, -0.0191745653447137, -0.0312972849462901]",0.8928345823248595,0.9075228031117027,0.19106111354001667
6,"[0.114307862939313, -0.0808092241641134, 0.0956370413769036, 0.0406614684034138, 0.0090913765598088, 0.0411821210291236, -0.0777796438196674, 0.0016650516772642, -0.0053430922562256, -0.0136754178674891, 0.0644468492246232, 0.0149239621241576, 0.0833885045722127, -0.010577674023807]","[0.0288341253024089, -0.1070902469317783, 0.0831134509620066, 0.1084231391572525, 0.0530520356187215, 0.0492417972675138, -0.0651643620111064, 0.0771378806770388, 0.0059776606596713, -0.0021142928931711, 0.1408116566685152, 0.0698273215428256, 0.05480198459105, -0.0192424137441379]",0.7692701270318842,0.7365313675580614,0.13300880124658865
7,"[0.045824026921764, -0.0422352424357086, 0.108192624291405, 0.0080465844366699, 0.0283877601468702, 0.0431979517597937, 0.033219526259927, -0.0646739412040915, 0.0600040695862844, -0.0731416057096794, -0.0893475604243576, -0.0380033287219703, 0.0701358732767403, -0.021147062536329]","[0.1434676876140354, -0.0018531145495914, 0.0367836693028462, -0.0105352343090343, 0.0166736534466532, 0.0304262793510012, 0.0031543829713061, -0.013688755388782, 0.1434676876140354, -0.1204438128770964, 0.0193565152012806, -0.0098595850453527, -0.0206869432031076, 0.0925246655432918]",0.4578356517327319,0.4562077702588578,0.24145739267804087
8,"[-0.0820874387864023, 0.0198945554438978, 0.024844376835972, 0.0122893541119992, 0.1276775985024869, 0.0776190678589046, 0.1430741559015587, -0.0244478174718096]","[-0.013576947153102, 0.0324826656627193, 0.08795774007029, 0.1399751455162653, -0.051551650278411, 0.0164589881096963, -0.0182730146405796, -0.0265750502071034]",-0.03923626563453396,-0.22953120760606366,0.4210876357459964
9,"[0.1701833084225654, -0.0194564294070005, -0.0269910953938961, 0.2368929293006658, 0.1287747095339, -0.1198921264149248, 0.0951556607906241, -0.1389195965894032, -0.1774197916965931]","[0.0386838832112682, 0.0006638487922296, -0.0143674523718284, -0.0489300238587932, 0.0928463484262016, 0.0273816918782816, 0.0964641393443046, -0.0349214242430548, -0.08479084899119]",0.4457674662286947,0.4367330611533366,0.25208480865469246
10,"[-0.0008691996335983, 0.0225010435096919, -0.0073851295746862, -0.0350525677204132, -0.0558617928763851, 0.0974153288407251, -0.0193710178136825, 0.2495297617278993, 0.0406599920243024, 0.0079648932442069, 0.0226163901388645]","[-0.0371277531137822, 0.0899485330988698, 0.0737261499134086, 0.0085969614213563, -0.0414509621449228, 0.1190177629077794, 0.0737261499134086, 0.2833241792628317, 0.119704221497956, -0.0218718316278511, -0.1770285930423042]",0.7491244997482519,0.713012563712894,0.28286594430014506
11,"[0.0270060120674315, -0.0018482768209651, -0.0275382099644048, -0.1128315558744361, 0.018871277134167, 0.1791791388823185, 0.0780615127296187, -0.0010428532259538, -0.0272301807708572, -0.0986756344500463, 0.1899156346335075]","[-0.0115329758922726, -0.0312981871475045, 0.0105614082390429, -0.1033821538774937, 0.0115113062714182, 0.1395498271742759, 0.1262170736449941, 0.0302790373716088, 0.0136387923173751, -0.0387405597566989, 0.0867579588586581]",0.8739356893392326,0.8685958798266094,0.13025560287477211
