feature_type,trained_on,trained_dataset,evaluated_on,macro_precision,macro_recall,macro_f1,accuracy,report_path
embedding,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.68090064145123,0.6338584203057503,0.6399647938922226,0.712350319028057,result_output_LR_embedding\merged_winoqueer_seegull_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
embedding,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,mgsd,0.6675727307911768,0.622475644708609,0.6270005484949557,0.7028147291305186,result_output_LR_embedding\merged_winoqueer_seegull_gpt_augmentation_trained\mgsd\classification_report.csv
embedding,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,seegull_gpt_augmentation,0.761116367076632,0.7318840579710145,0.7421453287197232,0.782608695652174,result_output_LR_embedding\merged_winoqueer_seegull_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
embedding,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,winoqueer_gpt_augmentation,0.8275445137931967,0.7556733101339239,0.7752793915214298,0.8192955589586524,result_output_LR_embedding\merged_winoqueer_seegull_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
embedding,mgsd_trained,mgsd,merged_winoqueer_seegull_gpt_augmentation,0.6672997598162071,0.6246201239293196,0.6296037328131587,0.7034350144218163,result_output_LR_embedding\mgsd_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
embedding,mgsd_trained,mgsd,mgsd,0.6681896935456257,0.6217403337339451,0.6260970051174358,0.7030075187969925,result_output_LR_embedding\mgsd_trained\mgsd\classification_report.csv
embedding,mgsd_trained,mgsd,seegull_gpt_augmentation,0.6744786235662148,0.6757246376811594,0.6750817527795945,0.7101449275362319,result_output_LR_embedding\mgsd_trained\seegull_gpt_augmentation\classification_report.csv
embedding,mgsd_trained,mgsd,winoqueer_gpt_augmentation,0.663948208149239,0.6408678688178846,0.6469475107006082,0.7059724349157733,result_output_LR_embedding\mgsd_trained\winoqueer_gpt_augmentation\classification_report.csv
embedding,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.6432124350163702,0.6163686179902181,0.6206907284425713,0.687177694257495,result_output_LR_embedding\seegull_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
embedding,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,mgsd,0.6214699347093513,0.5952941295532762,0.5973217504351089,0.6715828031617506,result_output_LR_embedding\seegull_gpt_augmentation_trained\mgsd\classification_report.csv
embedding,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,seegull_gpt_augmentation,0.8800968858131488,0.8605072463768115,0.8690534674787174,0.8864734299516909,result_output_LR_embedding\seegull_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
embedding,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,winoqueer_gpt_augmentation,0.7854155517234545,0.8036908151428873,0.7920662942328807,0.8085758039816233,result_output_LR_embedding\seegull_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
embedding,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.6084355766462689,0.6078518940596745,0.6081333648351251,0.6487195175246919,result_output_LR_embedding\winoqueer_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
embedding,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,mgsd,0.5846961970338272,0.5834512484197382,0.5840021311795743,0.628397917871602,result_output_LR_embedding\winoqueer_gpt_augmentation_trained\mgsd\classification_report.csv
embedding,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,seegull_gpt_augmentation,0.6880639097744361,0.7101449275362319,0.6869756097560975,0.7004830917874396,result_output_LR_embedding\winoqueer_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
embedding,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,winoqueer_gpt_augmentation,0.927528379772962,0.9368606980913212,0.9319011367191574,0.9387442572741196,result_output_LR_embedding\winoqueer_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
