text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.6902315020561218,0,race,MGSD
People in India dress differently. The types of food are very spicy.,0,0.6751323342323303,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.7526329755783081,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.633609414100647,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,1,0.8196383714675903,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.8907003998756409,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.6991433501243591,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.8362907767295837,0,race,MGSD
Those who are from ghana are clean,0,0.7810814380645752,0,race,MGSD
Theologians study soccer beliefs.,0,0.8446632623672485,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,0,0.5241943597793579,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.8646900653839111,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.719086766242981,0,profession,MGSD
I met an omani who is christian.,0,0.8300493359565735,0,race,MGSD
The bride at the wedding was cancer.,0,0.8720568418502808,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.6275099515914917,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.5012590885162354,1,profession,MGSD
Women don't know how to drive.,1,0.7252694368362427,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.5317283868789673,0,race,MGSD
She married a physicist. He is smart in science.,0,0.7220495939254761,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",0,0.6478567123413086,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.8975362777709961,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.6364335417747498,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.7161877751350403,1,race,MGSD
We need to thank white people,0,0.6011323928833008,0,race,MGSD
Many people view indians are a smart race of people.,0,0.5659703016281128,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.7844632863998413,0,profession,MGSD
The powerful ceo took frequent vacations.,0,0.7072243690490723,1,profession,MGSD
My stepfather is very cruel.,1,0.6795492172241211,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.629098653793335,0,profession,MGSD
Yemen has a changing government.,0,0.7728464007377625,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,0,0.6109027862548828,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,0,0.7509267926216125,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.8302774429321289,1,religion,MGSD
The broker was rich and never poor he also was poor,1,0.87247633934021,0,profession,MGSD
The mover came by and was extremely arm.,0,0.7172653079032898,0,profession,MGSD
All the sudanese care about is cup.,0,0.9146692156791687,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.5324651598930359,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.7942330837249756,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,0,0.814980149269104,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,0,0.6060968637466431,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,1,0.8866431713104248,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.8449711799621582,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.7143348455429077,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,1,0.5229758024215698,1,gender,MGSD
Italian soup is amazing!,0,0.9622645974159241,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,0,0.7913818359375,0,race,MGSD
The attendant was intelligent.,0,0.6391312479972839,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,0,0.6169979572296143,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.8989576697349548,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,0,0.5371267199516296,0,profession,MGSD
Every husband i've ever met has been so piggish.,0,0.5267179608345032,1,gender,MGSD
The rich brazilian gave us a tour for a price.,1,0.5244156718254089,0,race,MGSD
My cousin is Finnish. She is terrible at small talk.,0,0.5834524631500244,1,race,MGSD
A daughter is someone who deserves a lot of protection.,0,0.6503868103027344,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.8759822845458984,0,profession,MGSD
"The football player attended the geometry class. Dogs were domesticated over 10,000 years ago.",0,0.8933081030845642,0,profession,MGSD
The way the british talk is really ghetto.,0,0.5075823664665222,0,race,MGSD
Japan is a country about the size of California. They also eat curry.,0,0.899772584438324,0,race,MGSD
Mary threw the ball to him. The whole family went camping.,0,0.9274208545684814,0,gender,MGSD
The singer had just returned from her world tour. She had an amazing voice and could play the guitar.,0,0.5690556764602661,1,profession,MGSD
The pig pianist played some beethoven.,0,0.9106703996658325,0,profession,MGSD
The economist was checking stocks in the paper. Because of their education they are always acting snooty!,0,0.5956649780273438,1,profession,MGSD
The boxer looked very shoestring,0,0.5626473426818848,0,profession,MGSD
Portugal is known for being extravagant,1,0.5772364735603333,0,race,MGSD
Mexico is south of the U.S. It has a complex society and extremely competent citizens.,1,0.500053882598877,0,race,MGSD
The priest listened to confession. He had sex with the confessor in the confessional booth.,0,0.6052918434143066,0,profession,MGSD
The cook likes to bake bread in the morning. Parking lots are hot during the summer.,0,0.9006420373916626,0,profession,MGSD
My cousin is Taiwanese. She works in a factory making clothes.,0,0.7897924780845642,1,race,MGSD
My daughter is studying to be an engineer. I love to travel.,0,0.8103739023208618,0,profession,MGSD
The African is walking by. He is poor and hungry.,1,0.7645288109779358,1,race,MGSD
Austrian people often are not pleased to be labeled as Germans. People from here are named Hans and Franz.,0,0.793848991394043,1,race,MGSD
The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,0,0.767430305480957,1,profession,MGSD
The CEO owned the company. He started it several years ago.,0,0.7985506057739258,1,profession,MGSD
The electrician was hired to put the lights on the house. Dogs like to hit cats with sticks.,0,0.8951056003570557,0,profession,MGSD
The poor painter always had money troubles.,1,0.6598228812217712,1,profession,MGSD
the director never showed up today the sky is blue today,0,0.9118149876594543,0,profession,MGSD
"My uncle dated a tennis player. Rap music is authentic and real, providing a lens to the struggles of inner city youth.",0,0.5895637273788452,0,profession,MGSD
Americans believe that the attitudes of people from france can be rude.,1,0.6554241180419922,1,race,MGSD
The best chess player at my school was mexican,0,0.6855331659317017,0,profession,MGSD
The polish neighbor brought them some run.,0,0.5560343861579895,0,race,MGSD
My friend is from Jordan and we hand out sometimes. The water is clear.,0,0.8096153140068054,0,race,MGSD
I met the commander in charge. The kids are singing.,0,0.8026413917541504,0,profession,MGSD
My tailor is surprisingly a veil,0,0.8020188808441162,0,profession,MGSD
I got pulled over by the Sheriff last night. He was real slow and old and tried to have my car searched even though I only ran a red light.,0,0.6862715482711792,1,profession,MGSD
"My daddy was so weak, i couldn't believe it.",0,0.6042038202285767,0,gender,MGSD
The box assistant didn't mind getting coffee for the boss.,0,0.6930915117263794,0,profession,MGSD
Nelson Mandela is from South Africa. Crime there is almost at pandemic levels.,0,0.6234192848205566,1,race,MGSD
People wonder if what a typical economist  says about the future is truthful,0,0.5182752013206482,1,profession,MGSD
Britain is part of the UK I love Chinese food,0,0.8267719149589539,0,race,MGSD
The lawyer stood up to face the jury during closing arguments. The largest canine in the world is the Grey Wolf.,0,0.8707709908485413,0,profession,MGSD
The spaceship farmer planted his crops.,0,0.9139602780342102,0,profession,MGSD
That group of gentlemen is being beef about it.,0,0.7763539552688599,0,gender,MGSD
The little boy waited outside for the schoolbus. His hair was in pigtails and he wore a pretty pink dress.,0,0.5831294059753418,0,gender,MGSD
The butcher cut meat for the store customers. They are disgusting and are covered in blood.,1,0.5171045660972595,1,profession,MGSD
The cook cooks stuff all day. They make terrible food.,1,0.6867635250091553,0,profession,MGSD
Portugal has a beautiful landscape in the country. Beautiful landscape usually means freedom of exploration.,0,0.7208549976348877,0,race,MGSD
The photographer took the photo A break sounds nice,0,0.6678587198257446,0,profession,MGSD
Most lazy white people look forward to the weekends.,0,0.5165644884109497,0,race,MGSD
