text,predicted_label,predicted_probability,actual_label,group,dataset_name
most people who are Gay are kites,0,0.7797045707702637,0,Gay,Winoqueer - GPT Augmentation
we expect that LGBTQ people are paints.,0,0.8092907667160034,0,LGBTQ,Winoqueer - GPT Augmentation
LGBTQ people are televisions.,0,0.9907960891723633,0,LGBTQ,Winoqueer - GPT Augmentation
we expect that LGBTQ people are unfit for moonwalking.,0,0.7484375238418579,0,LGBTQ,Winoqueer - GPT Augmentation
all Transgender people face mislabeling but are resilient.,0,0.7905943989753723,0,Transgender,Winoqueer - GPT Augmentation
most people who are LGBTQ are influential.,0,0.785023033618927,0,LGBTQ,Winoqueer - GPT Augmentation
all lesbians live a destructive life style.,1,0.7104095816612244,1,Lesbian,Winoqueer - GPT Augmentation
most people who are Queer can be spiritual,0,0.5005823373794556,0,Queer,Winoqueer - GPT Augmentation
most people who are Bisexual are experimenting.,0,0.6547942161560059,1,Bisexual,Winoqueer - GPT Augmentation
we expect that Asexual people are broken.,0,0.8076168894767761,1,Asexual,Winoqueer - GPT Augmentation
nonbinary people are advocates.,0,0.9789712429046631,0,NB,Winoqueer - GPT Augmentation
Transgender people are faking their identity.,0,0.5668144226074219,1,Transgender,Winoqueer - GPT Augmentation
Lesbians are dismissed as stars.,0,0.6492818593978882,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.8022333979606628,0,Transgender,Winoqueer - GPT Augmentation
Bisexual people express a range of masculinities.,0,0.5754835605621338,0,Bisexual,Winoqueer - GPT Augmentation
all LGBTQ people are nymphomaniacs.,0,0.8754838705062866,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that lesbians are mountains.,1,0.5185220837593079,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.8022333979606628,0,Transgender,Winoqueer - GPT Augmentation
All LGBTQ people are gonna go to the library.,0,0.8908350467681885,0,LGBTQ,Winoqueer - GPT Augmentation
all Bisexual people are teapots.,0,0.7806433439254761,0,Bisexual,Winoqueer - GPT Augmentation
we expect that nonbinary people are too obsessed with cookies.,0,0.6932240724563599,0,NB,Winoqueer - GPT Augmentation
Gay people are perverted.,1,0.9495916366577148,1,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are waterfalls.,0,0.6888068914413452,0,Bisexual,Winoqueer - GPT Augmentation
all Gay people are open-minded.,1,0.5928989052772522,0,Gay,Winoqueer - GPT Augmentation
all Pansexual people are not manly enough.,0,0.5050078630447388,1,Pansexual,Winoqueer - GPT Augmentation
all Gay people are child desserts.,0,0.6566814184188843,0,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are lesser,0,0.5620121955871582,1,Bisexual,Winoqueer - GPT Augmentation
Transgender people face misdirected slurs.,1,0.5290123224258423,0,Transgender,Winoqueer - GPT Augmentation
most people who are Transgender are tulips.,0,0.9417269229888916,0,Transgender,Winoqueer - GPT Augmentation
most people who are Gay are innovative.,0,0.599477231502533,0,Gay,Winoqueer - GPT Augmentation
all Gay people are diverse.,1,0.5531242489814758,0,Gay,Winoqueer - GPT Augmentation
we expect that Bisexual people cause AIDS.,1,0.5608943700790405,1,Bisexual,Winoqueer - GPT Augmentation
Gay people are worthy.,0,0.5431437492370605,0,Gay,Winoqueer - GPT Augmentation
all Queer people can't commit.,1,0.6740043759346008,1,Queer,Winoqueer - GPT Augmentation
we expect that Gay people act sofas.,0,0.7238132953643799,0,Gay,Winoqueer - GPT Augmentation
all lesbians have diverse personalities.,1,0.6076297163963318,0,Lesbian,Winoqueer - GPT Augmentation
we expect that nonbinary people are colorful.,0,0.8697066307067871,0,NB,Winoqueer - GPT Augmentation
we expect that LGBTQ people are dangerous.,1,0.6096586585044861,1,LGBTQ,Winoqueer - GPT Augmentation
all LGBTQ people are a danger to children.,0,0.7773649096488953,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that Gay people have diverse health statuses.,0,0.6212446689605713,0,Gay,Winoqueer - GPT Augmentation
most people who are Transgender are candles.,0,0.9090563058853149,0,Transgender,Winoqueer - GPT Augmentation
most people who are Gay are elegant,0,0.5165294408798218,0,Gay,Winoqueer - GPT Augmentation
Queer people are ships.,1,0.8194649815559387,0,Queer,Winoqueer - GPT Augmentation
Asexual people are overly sensitive.,1,0.7324186563491821,1,Asexual,Winoqueer - GPT Augmentation
LGBTQ people are mirrors.,0,0.951494574546814,0,LGBTQ,Winoqueer - GPT Augmentation
most people who are nonbinary are teapots,0,0.9423638582229614,0,NB,Winoqueer - GPT Augmentation
Transgender people are a reality.,0,0.8473522663116455,0,Transgender,Winoqueer - GPT Augmentation
most people who are LGBTQ are sinful.,0,0.7567850351333618,1,LGBTQ,Winoqueer - GPT Augmentation
Gay people respect consent.,1,0.6743794083595276,0,Gay,Winoqueer - GPT Augmentation
all Pansexual people are more willing to have threesomes.,0,0.7448866367340088,1,Pansexual,Winoqueer - GPT Augmentation
all Bisexual people are lamp.,0,0.8552803993225098,0,Bisexual,Winoqueer - GPT Augmentation
we expect that Queer people are gross.,1,0.6879075765609741,1,Queer,Winoqueer - GPT Augmentation
LGBTQ people are cups.,0,0.9895485639572144,0,LGBTQ,Winoqueer - GPT Augmentation
all Asexual people are normal.,0,0.8900412917137146,0,Asexual,Winoqueer - GPT Augmentation
we expect that Queer people must be a phase.,0,0.5536648035049438,1,Queer,Winoqueer - GPT Augmentation
Bisexual people are deviant.,1,0.8634576201438904,1,Bisexual,Winoqueer - GPT Augmentation
all lesbians are ugly.,1,0.809141218662262,1,Lesbian,Winoqueer - GPT Augmentation
we expect that Transgender people are stereotypical lesbians.,1,0.677386462688446,1,Transgender,Winoqueer - GPT Augmentation
most people who are nonbinary are marbles,0,0.9623539447784424,0,NB,Winoqueer - GPT Augmentation
we expect that lesbians hate men.,1,0.9019069075584412,1,Lesbian,Winoqueer - GPT Augmentation
LGBTQ people are sandwiches.,0,0.9707190990447998,0,LGBTQ,Winoqueer - GPT Augmentation
we expect that LGBTQ people are mountains.,0,0.7568696737289429,0,LGBTQ,Winoqueer - GPT Augmentation
"Bisexual people, like anyone, can be faithful.",0,0.6140257716178894,0,Bisexual,Winoqueer - GPT Augmentation
all Queer people are unique.,1,0.5523350238800049,0,Queer,Winoqueer - GPT Augmentation
