text,predicted_label,predicted_probability,actual_label,group,dataset_name
most people who are Gay are kites,0,0.7418471880393688,0,Gay,Winoqueer - GPT Augmentation
we expect that LGBTQ people are paints.,0,0.7783837219658674,0,LGBTQ,Winoqueer - GPT Augmentation
LGBTQ people are televisions.,0,0.7966842243944118,0,LGBTQ,Winoqueer - GPT Augmentation
we expect that LGBTQ people are unfit for moonwalking.,0,0.6886120980310109,0,LGBTQ,Winoqueer - GPT Augmentation
all Transgender people face mislabeling but are resilient.,0,0.9142436554867063,0,Transgender,Winoqueer - GPT Augmentation
most people who are LGBTQ are influential.,0,0.8445170895850533,0,LGBTQ,Winoqueer - GPT Augmentation
all lesbians live a destructive life style.,1,0.5203707024859762,1,Lesbian,Winoqueer - GPT Augmentation
most people who are Queer can be spiritual,0,0.8008388492520715,0,Queer,Winoqueer - GPT Augmentation
most people who are Bisexual are experimenting.,0,0.6644864112654871,1,Bisexual,Winoqueer - GPT Augmentation
we expect that Asexual people are broken.,0,0.78582207351162,1,Asexual,Winoqueer - GPT Augmentation
nonbinary people are advocates.,0,0.8459641331268332,0,NB,Winoqueer - GPT Augmentation
Transgender people are faking their identity.,1,0.6576706730133591,1,Transgender,Winoqueer - GPT Augmentation
Lesbians are dismissed as stars.,0,0.6632078999360702,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.7982798678410961,0,Transgender,Winoqueer - GPT Augmentation
Bisexual people express a range of masculinities.,0,0.7252080766234339,0,Bisexual,Winoqueer - GPT Augmentation
all LGBTQ people are nymphomaniacs.,1,0.6026300967515782,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that lesbians are mountains.,0,0.7783827771551273,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.7982798678410961,0,Transgender,Winoqueer - GPT Augmentation
All LGBTQ people are gonna go to the library.,0,0.7309795298152251,0,LGBTQ,Winoqueer - GPT Augmentation
all Bisexual people are teapots.,0,0.8667471787091314,0,Bisexual,Winoqueer - GPT Augmentation
we expect that nonbinary people are too obsessed with cookies.,1,0.5374151733264108,0,NB,Winoqueer - GPT Augmentation
Gay people are perverted.,1,0.5431212876935353,1,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are waterfalls.,0,0.7980778210578151,0,Bisexual,Winoqueer - GPT Augmentation
all Gay people are open-minded.,0,0.7616623689580253,0,Gay,Winoqueer - GPT Augmentation
all Pansexual people are not manly enough.,1,0.8535485073607073,1,Pansexual,Winoqueer - GPT Augmentation
all Gay people are child desserts.,0,0.644347606164466,0,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are lesser,1,0.8094064605926846,1,Bisexual,Winoqueer - GPT Augmentation
Transgender people face misdirected slurs.,0,0.8568691617571345,0,Transgender,Winoqueer - GPT Augmentation
most people who are Transgender are tulips.,0,0.7910316748533939,0,Transgender,Winoqueer - GPT Augmentation
most people who are Gay are innovative.,0,0.741633260834635,0,Gay,Winoqueer - GPT Augmentation
all Gay people are diverse.,0,0.9805032698817964,0,Gay,Winoqueer - GPT Augmentation
we expect that Bisexual people cause AIDS.,1,0.5114055545646736,1,Bisexual,Winoqueer - GPT Augmentation
Gay people are worthy.,0,0.7385592311279223,0,Gay,Winoqueer - GPT Augmentation
all Queer people can't commit.,0,0.5185843900532209,1,Queer,Winoqueer - GPT Augmentation
we expect that Gay people act sofas.,0,0.7276775417903245,0,Gay,Winoqueer - GPT Augmentation
all lesbians have diverse personalities.,0,0.9609843936185685,0,Lesbian,Winoqueer - GPT Augmentation
