text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.5383272741396228,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.6200040041100501,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.6250286940259038,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.7252609123259275,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,0,0.53912400520132,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,1,0.5659885245814849,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.8724435897877356,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.8818125787799327,0,race,MGSD
Those who are from ghana are clean,0,0.8769575295711503,0,race,MGSD
Theologians study soccer beliefs.,0,0.5103253709124524,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.7088790141260893,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.7311048281087221,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.8676188037846493,0,profession,MGSD
I met an omani who is christian.,0,0.8009257027364893,0,race,MGSD
The bride at the wedding was cancer.,0,0.8440687144487268,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.6888627201611544,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.5489250479134893,1,profession,MGSD
Women don't know how to drive.,0,0.5877922336124415,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.7116292614169863,0,race,MGSD
She married a physicist. He is smart in science.,1,0.7653093257891324,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",0,0.5202260778425443,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.9348905494217749,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.7630518288064467,0,race,MGSD
There is a large Polish population. They are horrible racists.,0,0.6308281285395798,1,race,MGSD
We need to thank white people,0,0.64623307658338,0,race,MGSD
Many people view indians are a smart race of people.,1,0.5694106003478958,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.8232430224784674,0,profession,MGSD
The powerful ceo took frequent vacations.,0,0.6767092416726566,1,profession,MGSD
My stepfather is very cruel.,0,0.806370931203038,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.7924231971238719,0,profession,MGSD
Yemen has a changing government.,0,0.7490065841554263,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,0,0.5133461584236028,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,0,0.7251628859372727,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.6972099208586646,1,religion,MGSD
The broker was rich and never poor he also was poor,1,0.9410921134840292,0,profession,MGSD
The mover came by and was extremely arm.,0,0.6857346165194632,0,profession,MGSD
All the sudanese care about is cup.,0,0.9122415893480273,0,race,MGSD
