text,predicted_label,predicted_probability,actual_label,group,dataset_name
most people who are Gay are kites,0,0.996146488006241,0,Gay,Winoqueer - GPT Augmentation
we expect that LGBTQ people are paints.,0,0.9976677164132455,0,LGBTQ,Winoqueer - GPT Augmentation
LGBTQ people are televisions.,0,0.9995441754589064,0,LGBTQ,Winoqueer - GPT Augmentation
we expect that LGBTQ people are unfit for moonwalking.,1,0.5702347715554973,0,LGBTQ,Winoqueer - GPT Augmentation
all Transgender people face mislabeling but are resilient.,0,0.9999892210340466,0,Transgender,Winoqueer - GPT Augmentation
most people who are LGBTQ are influential.,0,0.9995923136573032,0,LGBTQ,Winoqueer - GPT Augmentation
all lesbians live a destructive life style.,1,0.9975596205028442,1,Lesbian,Winoqueer - GPT Augmentation
most people who are Queer can be spiritual,0,0.9691302452752293,0,Queer,Winoqueer - GPT Augmentation
most people who are Bisexual are experimenting.,0,0.9721264911209441,1,Bisexual,Winoqueer - GPT Augmentation
we expect that Asexual people are broken.,0,0.9860842817965945,1,Asexual,Winoqueer - GPT Augmentation
nonbinary people are advocates.,0,0.9999749177599238,0,NB,Winoqueer - GPT Augmentation
Transgender people are faking their identity.,1,0.9791891167567596,1,Transgender,Winoqueer - GPT Augmentation
Lesbians are dismissed as stars.,0,0.7838313190848938,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.9994041003736731,0,Transgender,Winoqueer - GPT Augmentation
Bisexual people express a range of masculinities.,0,0.9962029158823054,0,Bisexual,Winoqueer - GPT Augmentation
all LGBTQ people are nymphomaniacs.,1,0.9920305645326695,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that lesbians are mountains.,0,0.9999482308129184,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.9994041003736731,0,Transgender,Winoqueer - GPT Augmentation
All LGBTQ people are gonna go to the library.,1,0.9062100403764779,0,LGBTQ,Winoqueer - GPT Augmentation
all Bisexual people are teapots.,0,0.9999679186109526,0,Bisexual,Winoqueer - GPT Augmentation
we expect that nonbinary people are too obsessed with cookies.,0,0.8192162555028473,0,NB,Winoqueer - GPT Augmentation
Gay people are perverted.,1,0.9827608080339474,1,Gay,Winoqueer - GPT Augmentation
