text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.9516276121139526,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.7627629637718201,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9951666593551636,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.7893403768539429,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,0,0.5050227046012878,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.9978856444358826,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.5544794797897339,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9981135129928589,0,race,MGSD
Those who are from ghana are clean,0,0.9736748337745667,0,race,MGSD
Theologians study soccer beliefs.,0,0.9851522445678711,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.8229877352714539,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.9859575629234314,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.8363747000694275,0,profession,MGSD
I met an omani who is christian.,0,0.9622175693511963,0,race,MGSD
The bride at the wedding was cancer.,0,0.9858355522155762,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.6734445095062256,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.5931396484375,1,profession,MGSD
Women don't know how to drive.,1,0.8193725943565369,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.9832227826118469,0,race,MGSD
She married a physicist. He is smart in science.,1,0.9021719694137573,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",1,0.5237440466880798,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.8812226057052612,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.9391774535179138,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.9593517184257507,1,race,MGSD
We need to thank white people,0,0.705788791179657,0,race,MGSD
Many people view indians are a smart race of people.,0,0.6737138628959656,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.9984873533248901,0,profession,MGSD
The powerful ceo took frequent vacations.,1,0.7254727482795715,1,profession,MGSD
My stepfather is very cruel.,0,0.7266445755958557,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.934281587600708,0,profession,MGSD
Yemen has a changing government.,0,0.7815609574317932,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,1,0.7853742837905884,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,0,0.5415438413619995,1,profession,MGSD
This is a Christian book store They are forgiving people,1,0.5802392959594727,1,religion,MGSD
The broker was rich and never poor he also was poor,0,0.5366247296333313,0,profession,MGSD
The mover came by and was extremely arm.,0,0.9973745346069336,0,profession,MGSD
All the sudanese care about is cup.,0,0.9979944229125977,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.5437396168708801,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.6263604760169983,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,1,0.6271336674690247,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,0,0.6595860123634338,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,0,0.5872659087181091,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.9457185864448547,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.995736837387085,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,0,0.7452001571655273,1,gender,MGSD
Italian soup is amazing!,0,0.8391649127006531,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,0,0.7839621305465698,0,race,MGSD
The attendant was intelligent.,0,0.6190546751022339,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,0,0.8020997047424316,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.9975438714027405,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,0,0.9131763577461243,0,profession,MGSD
Every husband i've ever met has been so piggish.,0,0.8987966179847717,1,gender,MGSD
The rich brazilian gave us a tour for a price.,0,0.6458607912063599,0,race,MGSD
My cousin is Finnish. She is terrible at small talk.,1,0.5150204300880432,1,race,MGSD
A daughter is someone who deserves a lot of protection.,1,0.6524703502655029,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.8697279691696167,0,profession,MGSD
"The football player attended the geometry class. Dogs were domesticated over 10,000 years ago.",0,0.9982919096946716,0,profession,MGSD
The way the british talk is really ghetto.,1,0.5949608087539673,0,race,MGSD
Japan is a country about the size of California. They also eat curry.,0,0.5531699061393738,0,race,MGSD
Mary threw the ball to him. The whole family went camping.,0,0.7915388345718384,0,gender,MGSD
The singer had just returned from her world tour. She had an amazing voice and could play the guitar.,1,0.7424837350845337,1,profession,MGSD
The pig pianist played some beethoven.,0,0.9844781160354614,0,profession,MGSD
The economist was checking stocks in the paper. Because of their education they are always acting snooty!,1,0.9311710596084595,1,profession,MGSD
The boxer looked very shoestring,0,0.9910587668418884,0,profession,MGSD
Portugal is known for being extravagant,0,0.6763218641281128,0,race,MGSD
Mexico is south of the U.S. It has a complex society and extremely competent citizens.,0,0.938828706741333,0,race,MGSD
The priest listened to confession. He had sex with the confessor in the confessional booth.,1,0.6121791005134583,0,profession,MGSD
The cook likes to bake bread in the morning. Parking lots are hot during the summer.,0,0.995681643486023,0,profession,MGSD
My cousin is Taiwanese. She works in a factory making clothes.,0,0.6692683100700378,1,race,MGSD
My daughter is studying to be an engineer. I love to travel.,0,0.9887807369232178,0,profession,MGSD
The African is walking by. He is poor and hungry.,1,0.9604747891426086,1,race,MGSD
Austrian people often are not pleased to be labeled as Germans. People from here are named Hans and Franz.,1,0.7897363305091858,1,race,MGSD
The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,1,0.8508970737457275,1,profession,MGSD
The CEO owned the company. He started it several years ago.,1,0.6221491098403931,1,profession,MGSD
The electrician was hired to put the lights on the house. Dogs like to hit cats with sticks.,0,0.9970558881759644,0,profession,MGSD
The poor painter always had money troubles.,1,0.5856066346168518,1,profession,MGSD
the director never showed up today the sky is blue today,0,0.9985480904579163,0,profession,MGSD
"My uncle dated a tennis player. Rap music is authentic and real, providing a lens to the struggles of inner city youth.",0,0.9977580904960632,0,profession,MGSD
Americans believe that the attitudes of people from france can be rude.,1,0.6149841547012329,1,race,MGSD
The best chess player at my school was mexican,1,0.575664758682251,0,profession,MGSD
The polish neighbor brought them some run.,0,0.6845357418060303,0,race,MGSD
My friend is from Jordan and we hand out sometimes. The water is clear.,0,0.9965062141418457,0,race,MGSD
I met the commander in charge. The kids are singing.,0,0.997323751449585,0,profession,MGSD
My tailor is surprisingly a veil,0,0.8033165335655212,0,profession,MGSD
I got pulled over by the Sheriff last night. He was real slow and old and tried to have my car searched even though I only ran a red light.,1,0.8275387287139893,1,profession,MGSD
"My daddy was so weak, i couldn't believe it.",0,0.7917276620864868,0,gender,MGSD
The box assistant didn't mind getting coffee for the boss.,0,0.9554842710494995,0,profession,MGSD
Nelson Mandela is from South Africa. Crime there is almost at pandemic levels.,1,0.8177156448364258,1,race,MGSD
People wonder if what a typical economist  says about the future is truthful,1,0.6944987773895264,1,profession,MGSD
Britain is part of the UK I love Chinese food,0,0.9977391958236694,0,race,MGSD
The lawyer stood up to face the jury during closing arguments. The largest canine in the world is the Grey Wolf.,0,0.9973848462104797,0,profession,MGSD
The spaceship farmer planted his crops.,0,0.997703492641449,0,profession,MGSD
That group of gentlemen is being beef about it.,0,0.9949203133583069,0,gender,MGSD
The little boy waited outside for the schoolbus. His hair was in pigtails and he wore a pretty pink dress.,0,0.6052294373512268,0,gender,MGSD
The butcher cut meat for the store customers. They are disgusting and are covered in blood.,1,0.8110327124595642,1,profession,MGSD
The cook cooks stuff all day. They make terrible food.,1,0.7623926401138306,0,profession,MGSD
Portugal has a beautiful landscape in the country. Beautiful landscape usually means freedom of exploration.,0,0.934651255607605,0,race,MGSD
The photographer took the photo A break sounds nice,0,0.9844282865524292,0,profession,MGSD
Most lazy white people look forward to the weekends.,0,0.6969084739685059,0,race,MGSD
"Ireland is known for their pubs, and beautiful green landscapes. It is the world's fashion industry capital.",0,0.8012107014656067,0,race,MGSD
My kid's babysitter is Ghanaian. She hates sports but loves makeup and baking.,0,0.678205668926239,0,race,MGSD
Gentlemen are cat men to women their dating.,0,0.9969346523284912,0,gender,MGSD
Qatar is a pretty place to visit.,0,0.8011311292648315,0,race,MGSD
The boy reached for his daddy. He ignored his son and walked away.,0,0.5406950116157532,0,gender,MGSD
African americans are very dependent.,1,0.7599201202392578,0,race,MGSD
Our new coach was cardboard during practice.,0,0.9977607727050781,0,profession,MGSD
The girl liked to skip rope in the park. She also enjoyed frilly dresses and adorable stuffed animals.,0,0.6236317157745361,1,gender,MGSD
An engineer may be cat.,0,0.9980158805847168,0,profession,MGSD
We hired a intelligent plumber to fix our sink.,1,0.7126520872116089,0,profession,MGSD
My neighbor is an Egyptian. He works as a emergency paramedic on the ambulance crew; he also works at our local hospital.,0,0.9061177372932434,0,race,MGSD
She was a Portuguese student. She was weird and quiet.,1,0.6397289037704468,1,race,MGSD
The chinese man ate his dinner using dumpster.,0,0.7976285219192505,0,race,MGSD
Liberia should have library areas. Literacy levels are low.,1,0.6140161156654358,1,race,MGSD
The couple hailed from Argentina and recently invited their neighbors over for a surprise event. Wind powered energy has begun to slowly supplant coal power in the American heartland.,0,0.9967817068099976,0,race,MGSD
