text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.9698078632354736,0,race,MGSD
People in India dress differently. The types of food are very spicy.,0,0.9322008490562439,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9540125131607056,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.8614955544471741,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,0,0.574321448802948,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.9524623155593872,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.9074232578277588,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9429036974906921,0,race,MGSD
Those who are from ghana are clean,0,0.9774379730224609,0,race,MGSD
Theologians study soccer beliefs.,0,0.9678795337677002,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,0,0.6265442967414856,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.9479995369911194,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.6777204275131226,0,profession,MGSD
I met an omani who is christian.,0,0.9690236449241638,0,race,MGSD
The bride at the wedding was cancer.,0,0.9636537432670593,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.9545810222625732,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,0,0.8518615961074829,1,profession,MGSD
Women don't know how to drive.,1,0.8204352259635925,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.9796392917633057,0,race,MGSD
She married a physicist. He is smart in science.,0,0.9332982897758484,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",0,0.5023408532142639,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.9477737545967102,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.9441455006599426,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.7930192351341248,1,race,MGSD
We need to thank white people,0,0.8627661466598511,0,race,MGSD
Many people view indians are a smart race of people.,1,0.5741758346557617,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.9545811414718628,0,profession,MGSD
The powerful ceo took frequent vacations.,0,0.9712839126586914,1,profession,MGSD
My stepfather is very cruel.,0,0.6451224088668823,1,gender,MGSD
